Experiment,AE,VAE,VAE b=0,mVAE b=0.5,mVAE b=16
"0 Abn, Rest Nl",0.9274,0.9271,0.9179,0.9329,0.9304
"1 Abn, Rest-Nl",0.8366,0.8179,0.8332,0.8074,0.6102
"2 Abn, Rest Nl",,,,,
"3 Abn, Rest Nl",,,,,
"4 Abn, Rest Nl",,,,,
"5 Abn, Rest Nl",,,,,
"6 Abn, Rest Nl",,,,,
"7 Abn, Rest Nl",,,,,
"8 Abn, Rest Nl",,,,,
"9 Abn, Rest Nl",,,,,
